ID,ConvID,Context,Disclosure Type,Has Parent Tweet,Has Cards,Date,Language,Permalink,is part of conversation?,Author ID,Author Name,is Author verified,Text,Replies,Retweets,Favorites,Mentions,is Reply?,is Retweet?,Reply to User ID,Reply To User Name,Quoted Tweet ID, Quoted Tweet Conv. ID,Quoted Tweet Type,Quoted Tweets User ID,Quoted Tweet User
1196936246213390336,1196936246213390336,tweet,,False,False,19.11.2019 23:40:13,en,/co_rapunzel4/status/1196936246213390336,False,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Republicans would have you believe that Trump--TRUMP!--is interested in &quot;rooting out corruption.&quot;Please. The only corruption Trump ever worried about is when it involved a dirty deal he wasn&#39;t cut in on.#RepublicansAreToast#KurtVolker,3,20,74,,False,True,,,,,,,
1196936191385493506,1196936191385493506,tweet,,False,True,19.11.2019 23:40:00,en,/ArkansasOnline/status/1196936191385493506,False,25354366,AR Democrat-Gazette,True, Sweden on Tuesday dropped its investigation into an alleged rape by the WikiLeaks founder because too much time has elapsed since the accusation was made. Details on the decision:https://www.arkansasonline.com/news/2019/nov/19/sweden-drops-assange-rape-investigation-after-9-ye/&nbsp;…,0,0,0,,False,True,,,,,,,
1196935347810263046,1196841074318286848,tweet,,True,True,19.11.2019 23:36:39,und,/docrocktex26/status/1196935347810263046,True,16582131,Propane Jane™,True, pic.twitter.com/6COHMp9d7S,0,0,3,ag_due MMBakner,True,True,3018108173,MMBakner,,,,,
1196935002757455872,1196841074318286848,tweet,,True,True,19.11.2019 23:35:17,en,/docrocktex26/status/1196935002757455872,True,16582131,Propane Jane™,True, Not unless he finds a way to get around White voters; they’re Beto’s (and any Democrat’s) biggest obstacle to winning statewide races in Texas. Receipts:pic.twitter.com/6Y7EO0aX2Z,1,0,1,The_Operator01 ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196934776151781380,1196933399170158599,tweet,,True,False,19.11.2019 23:34:23,und,/co_rapunzel4/status/1196934776151781380,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, ,0,0,3,JSmithBlogger,True,True,1129087310,JSmithBlogger,,,,,
1196933787466252292,1196933399170158599,tweet,,True,False,19.11.2019 23:30:27,en,/co_rapunzel4/status/1196933787466252292,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Cue the dirge music!,1,0,3,Frank66Stanton,True,True,922364427982090240,Frank66Stanton,,,,,
1196933700317065216,1196908305043673088,tweet,,True,False,19.11.2019 23:30:06,en,/docrocktex26/status/1196933700317065216,True,16582131,Propane Jane™,True, Me too; I don’t get how they expect the entire primary to go by without the candidates challenging and taking each other out; they have to draw distinctions so that someone can rise to the top. ,1,2,2,RFarrfan,True,True,115982302,RFarrfan,,,,,
1196933399170158599,1196933399170158599,tweet,,False,False,19.11.2019 23:28:54,en,/co_rapunzel4/status/1196933399170158599,False,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Wow--been running around since 3:00 p.m. and the hearings are still on. Devin Nunes looks decidedly nervous and cowed [heh]. It ain&#39;t looking good for the Party of Traitors. There is no longer a Republican Party.#DevinNunesIsAnIdiot#ImpeachmentHearings#AmbassadorVolker,9,35,98,,False,True,,,,,,,
1196931668671713281,1196908305043673088,tweet,,True,False,19.11.2019 23:22:02,und,/docrocktex26/status/1196931668671713281,True,16582131,Propane Jane™,True, ,0,0,1,ag_due carlottadale38,True,True,721798495603003392,carlottadale38,,,,,
1196931657183453184,1196931657183453184,tweet,,False,True,19.11.2019 23:21:59,en,/npquarterly/status/1196931657183453184,False,61206610,Nonprofit Quarterly,True, It is important for progressive philanthropy to connect more with the youth; but where do they start?http://bit.ly/2KCjlFF&nbsp;,0,0,2,,False,True,,,,,,,
